ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1776;-51.207859;-30.077852;95;;;7973027;;AV TERESOPOLIS;;AV TERESOPOLIS SOBRE VDT;AV TERESOPOLIS;PEDESTRE;;TER-CFR
1777;-51.210893;-30.031816;96;;291;7977085;;R FERNANDES VIEIRA;; 291 R FERNANDES VIEIRA; 291 R FERNANDES VIEIRA;PEDESTRE;;VAS-FER
1778;-51.219816;-30.043264;97;;1043;7877244;;R JOSE DO PATROCINIO;;1043 R JOSE DO PATROCINIO;1043 R JOSE DO PATROCINIO;PEDESTRE;PED APOS VENANCIO AIRES;VEN-JPA
1779;-51.219670;-30.043085;98;;11;7876071;;AV VENANCIO AIRES;;11 AV VENANCIO AIRES;11 AV VENANCIO AIRES;PEDESTRE;PED BC APOS JOSE PATROCINIO;VEN-JPA
1780;-51.218915;-30.023788;99;;77;7878176;;LG VESPASIANO VEPPO;;77 LG VESPASIANO JULIO VEPPO;77 LG VESPASIANO JULIO VEPPO;PEDESTRE;PED FTE RODOVIARIA;VEP-PD01
1781;-51.219000;-30.023793;100;;70;7878176;;LG VESPASIANO VEPPO;;70 LG VESPASIANO JULIO VEPPO;70 LG VESPASIANO JULIO VEPPO;PEDESTRE;PED DF RODOVIARIA;VEP-PD01
1782;-51.195856;-30.039304;101;;2621;7974405;;R VICENTE DA FONTOURA;;2621 R VICENTE DA FONTOURA;2599 R VICENTE DA FONTOURA;PEDESTRE;PED - CICLISTA;VIC-NEU
1783;-51.155937;-30.013700;102;;190;8479156;;R VISCONDE DE MACAE;;190 R VISCONDE DE MACAE;190 R VISCONDE DE MACAE;PEDESTRE;PED BC CRUZ ADAO BAINO;VMC-ABN
1784;-51.155742;-30.013737;103;;211;8479156;;R VISCONDE DE MACAE;;211 R VISCONDE DE MACAE;211 R VISCONDE DE MACAE;PEDESTRE;PED CB CRUZ ADAO BAINO;VMC-ABN
1785;-51.156855;-30.013786;104;;120;8479156;;R VISCONDE DE MACAE;;120 R VISCONDE DE MACAE;120 R VISCONDE DE MACAE;PEDESTRE;PED BC CRUZ FERNANDO CORTEZ;VMC-FCZ
1786;-51.156660;-30.013824;105;;137;8479156;;R VISCONDE DE MACAE;;137 R VISCONDE DE MACAE;137 R VISCONDE DE MACAE;PEDESTRE;PED CB CRUZ FERNANDO CORTEZ;VMC-FCZ
1787;-51.157722;-30.013687;106;;40;8479156;;R VISCONDE DE MACAE;;40 R VISCONDE DE MACAE;40 R VISCONDE DE MACAE;PEDESTRE;PED BC CRUZ ALVAREZ CABRAL;VMC-ACA
1788;-51.219204;-30.025702;107;28122016;;7878259;7878259;R VOLUNTARIOS DA PATRIA;R DA CONCEICAO;R VOLUNTARIOS DA PATRIA & R CONCEICAO;R VOLUNTARIOS DA PATRIA & R CONCEICAO;CRUZAMENTO;Prancha CPVE 003.14.1;VOL-CON
1789;-51.218842;-30.026188;108;;777;7878259;;R VOLUNTARIOS DA PATRIA;;777 R VOLUNTARIOS DA PATRIA;777 R VOLUNTARIOS DA PATRIA;PEDESTRE;;VOL-CON
1790;-51.217252;-30.024816;109;;1003;7878259;;R VOLUNTARIOS DA PATRIA;;1003 R VOLUNTARIOS DA PATRIA;1003 R VOLUNTARIOS DA PATRIA;PEDESTRE;PED CB APOS CRUZ GARIBALDI;VOL-GAR
1791;-51.216844;-30.024190;110;;;7878259;7978042;R VOLUNTARIOS DA PATRIA;R SANTO ANTONIO;R VOLUNTARIOS DA PATRIA & R SANTO ANTONIO;R VOLUNTARIOS DA PATRIA & R SANTO ANTONIO;CRUZAMENTO;;VOL-STA
1792;-51.216738;-30.024091;111;;1089;7878259;;R VOLUNTARIOS DA PATRIA;;1089 R VOLUNTARIOS DA PATRIA;1089 R VOLUNTARIOS DA PATRIA;PEDESTRE;PED CB CRUZ SANTO ANTONIO;VOL-STA
1793;-51.212190;-30.014747;112;;2136;7878259;;R VOLUNTARIOS DA PATRIA;;2136 R VOLUNTARIOS DA PATRIA;2136 R VOLUNTARIOS DA PATRIA;PEDESTRE;ESQ ALM BARROSO BC;VOL-PD04
1794;-51.208827;-30.006943;113;;;7878259;7980048;R VOLUNTARIOS DA PATRIA;AV POLONIA;R VOLUNTARIOS DA PATRIA & R POLONIA;R VOLUNTARIOS DA PATRIA & AV POLONIA;CRUZAMENTO;SEMAF CONV ESQUERDA;VOL-PLO
1795;-51.205570;-29.996390;114;;;7878259;;R VOLUNTARIOS DA PATRIA;;DF 4389 R VOLUNTARIOS DA PATRIA;R VOLUNTARIOS DA PATRIA;PEDESTRE;DC SHOPPING BC;VOL-PD02
1796;-51.235353;-30.037018;115;;560;7677081;;AV LOUREIRO DA SILVA;;560 AV LOUREIRO DA SILVA;560 AV LOUREIRO DA SILVA;PEDESTRE;;WAS-VAS
1797;-51.254031;-30.108409;116;;2287;7670177;;AV WENCESLAU ESCOBAR;;2287 AV WENCESLAU ESCOLAR;2287 AV WENCESLAU ESCOLAR;PEDESTRE;;WEN-OTT
1798;-51.255274;-30.112659;117;;2801;7670177;;AV WENCESLAU ESCOBAR;;2801 AV WENCESLAU ESCOLAR;2801 AV WENCESLAU ESCOLAR;PEDESTRE;PED CB CRUZ ALM CAMARA;WEN-ALM
